id_site,rank,service_logic_leg,access_type,t1t7,rn,data
123,0,3,20,2315369,1,"{""id"" : -1, ""equipment_id"" : 83442, ""site_id"" : 123, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042315369"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
124,0,3,20,2306070,1,"{""id"" : -1, ""equipment_id"" : 89881, ""site_id"" : 124, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042306070"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
126,0,3,20,2315122,1,"{""id"" : -1, ""equipment_id"" : 73322, ""site_id"" : 126, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042315122"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
126,1,3,20,2315891,1,"{""id"" : -1, ""equipment_id"" : 35283, ""site_id"" : 126, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042315891"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
126,2,3,20,2315894,1,"{""id"" : -1, ""equipment_id"" : 35385, ""site_id"" : 126, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042315894"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
136,0,3,20,2306070,1,"{""id"" : -1, ""equipment_id"" : 89881, ""site_id"" : 136, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042306070"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
137,0,3,20,2306070,1,"{""id"" : -1, ""equipment_id"" : 89881, ""site_id"" : 137, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042306070"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
138,0,3,20,2315122,1,"{""id"" : -1, ""equipment_id"" : 73322, ""site_id"" : 138, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042315122"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
138,1,3,20,2315891,1,"{""id"" : -1, ""equipment_id"" : 35283, ""site_id"" : 138, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042315891"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
138,2,3,20,2315894,1,"{""id"" : -1, ""equipment_id"" : 35385, ""site_id"" : 138, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042315894"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
149,1,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 149, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
149,4,3,20,2385470,1,"{""id"" : -1, ""equipment_id"" : 131861, ""site_id"" : 149, ""rank"" : 4, ""load"" : 1, ""cdr_info"" : ""933333333333"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385470"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
149,2,3,20,2390082,1,"{""id"" : -1, ""equipment_id"" : 70357, ""site_id"" : 149, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042390082"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
149,3,3,20,2405074,1,"{""id"" : -1, ""equipment_id"" : 70253, ""site_id"" : 149, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042405074"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
149,0,3,20,8940012,1,"{""id"" : -1, ""equipment_id"" : 69174, ""site_id"" : 149, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098940012"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
176,3,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 176, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
176,2,3,20,2390082,1,"{""id"" : -1, ""equipment_id"" : 70357, ""site_id"" : 176, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042390082"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
176,1,3,20,2405074,1,"{""id"" : -1, ""equipment_id"" : 70253, ""site_id"" : 176, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042405074"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
176,0,3,20,8946012,1,"{""id"" : -1, ""equipment_id"" : 69173, ""site_id"" : 176, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098946012"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
178,1,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 178, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
178,2,3,20,2385470,1,"{""id"" : -1, ""equipment_id"" : 131861, ""site_id"" : 178, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""933333333333"", ""called_prefix"" : ""08"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""082385470"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
178,3,3,20,2390082,1,"{""id"" : -1, ""equipment_id"" : 70357, ""site_id"" : 178, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042390082"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
178,4,3,20,2405074,1,"{""id"" : -1, ""equipment_id"" : 70253, ""site_id"" : 178, ""rank"" : 4, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042405074"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
178,0,3,20,8940012,1,"{""id"" : -1, ""equipment_id"" : 69174, ""site_id"" : 178, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098940012"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
189,1,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 189, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
189,4,3,20,2385470,1,"{""id"" : -1, ""equipment_id"" : 131861, ""site_id"" : 189, ""rank"" : 4, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""08"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""082385470"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
189,2,3,20,2390082,1,"{""id"" : -1, ""equipment_id"" : 70357, ""site_id"" : 189, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042390082"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
189,3,3,20,2405074,1,"{""id"" : -1, ""equipment_id"" : 70253, ""site_id"" : 189, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042405074"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
189,0,3,20,8940012,1,"{""id"" : -1, ""equipment_id"" : 69174, ""site_id"" : 189, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098940012"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
190,0,3,20,2306070,1,"{""id"" : -1, ""equipment_id"" : 89881, ""site_id"" : 190, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042306070"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
197,0,3,20,2395322,1,"{""id"" : -1, ""equipment_id"" : 161462, ""site_id"" : 197, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""933333333333"", ""called_prefix"" : ""08"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""082395322"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
227,1,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 227, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
227,2,3,20,2390082,1,"{""id"" : -1, ""equipment_id"" : 70357, ""site_id"" : 227, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042390082"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
227,3,3,20,2405074,1,"{""id"" : -1, ""equipment_id"" : 70253, ""site_id"" : 227, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042405074"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
227,0,3,20,8940012,1,"{""id"" : -1, ""equipment_id"" : 69174, ""site_id"" : 227, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098940012"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
230,1,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 230, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
230,2,3,20,2390082,1,"{""id"" : -1, ""equipment_id"" : 70357, ""site_id"" : 230, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042390082"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
230,3,3,20,2405074,1,"{""id"" : -1, ""equipment_id"" : 70253, ""site_id"" : 230, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042405074"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
230,0,3,20,8940012,1,"{""id"" : -1, ""equipment_id"" : 69174, ""site_id"" : 230, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098940012"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
231,1,3,20,2385166,1,"{""id"" : -1, ""equipment_id"" : 70356, ""site_id"" : 231, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098994898"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385166"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
231,3,3,20,2385816,1,"{""id"" : -1, ""equipment_id"" : 171162, ""site_id"" : 231, ""rank"" : 3, ""load"" : 1, ""cdr_info"" : ""098993106"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385816"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
