id,vpn_code,data
5373,3782,"{""id"" : 5373, ""name"" : ""ALLIOS_SCL_3"", ""global_call_limiter"" : 3, ""outgoing_call_limiter"" : 3, ""incoming_call_limiter"" : 3, ""vpn_id"" : ""3782"", ""resource_type"" : ""SITE""}"
5374,3782,"{""id"" : 5374, ""name"" : ""ALLIOS_SCL_4"", ""global_call_limiter"" : 2, ""outgoing_call_limiter"" : 2, ""incoming_call_limiter"" : 2, ""vpn_id"" : ""3782"", ""resource_type"" : ""SITE""}"
426422,10004997,"{""id"" : 426422, ""name"" : ""CD0MY93L96"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : 5, ""incoming_call_limiter"" : 5, ""vpn_id"" : ""10004997"", ""resource_type"" : ""SITE""}"
426601,10000983,"{""id"" : 426601, ""name"" : ""CD05VQJQ98"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10000983"", ""resource_type"" : ""SITE""}"
427350,10001038,"{""id"" : 427350, ""name"" : ""CD04NNRSCC"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10001038"", ""resource_type"" : ""SITE""}"
392695,5827,"{""id"" : 392695, ""name"" : ""H56V192VANNESRESTAUR"", ""global_call_limiter"" : 3, ""outgoing_call_limiter"" : 3, ""incoming_call_limiter"" : 3, ""vpn_id"" : ""5827"", ""resource_type"" : ""SITE""}"
49910,3673,"{""id"" : 49910, ""name"" : ""SIP_Rhodes"", ""global_call_limiter"" : 300, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3673"", ""resource_type"" : ""EQUIPMENT""}"
49912,3673,"{""id"" : 49912, ""name"" : ""SIP_Singapore"", ""global_call_limiter"" : 300, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3673"", ""resource_type"" : ""EQUIPMENT""}"
70731,3547,"{""id"" : 70731, ""name"" : ""3547_SCL_11106"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3547"", ""resource_type"" : ""SAN""}"
6302,3168,"{""id"" : 6302, ""name"" : ""Fairhchild Semicondu"", ""global_call_limiter"" : 10, ""outgoing_call_limiter"" : 10, ""incoming_call_limiter"" : 10, ""vpn_id"" : ""3168"", ""resource_type"" : ""SITE""}"
6324,4005,"{""id"" : 6324, ""name"" : ""OCEA_SCL_1"", ""global_call_limiter"" : 20, ""outgoing_call_limiter"" : 20, ""incoming_call_limiter"" : 20, ""vpn_id"" : ""4005"", ""resource_type"" : ""SITE""}"
6028,3412,"{""id"" : 6028, ""name"" : ""JAURES_SCL_2"", ""global_call_limiter"" : 8, ""outgoing_call_limiter"" : 8, ""incoming_call_limiter"" : 8, ""vpn_id"" : ""3412"", ""resource_type"" : ""SITE""}"
423738,4068,"{""id"" : 423738, ""name"" : ""CD00RNUA8E"", ""global_call_limiter"" : 1200, ""outgoing_call_limiter"" : 1200, ""incoming_call_limiter"" : 1200, ""vpn_id"" : ""4068"", ""resource_type"" : ""SITE""}"
423954,10007730,"{""id"" : 423954, ""name"" : ""CD0ML7RFB8"", ""global_call_limiter"" : 200, ""outgoing_call_limiter"" : 200, ""incoming_call_limiter"" : 200, ""vpn_id"" : ""10007730"", ""resource_type"" : ""SITE""}"
390622,10002786,"{""id"" : 390622, ""name"" : ""CD0HHM3QF7"", ""global_call_limiter"" : 70, ""outgoing_call_limiter"" : 70, ""incoming_call_limiter"" : 70, ""vpn_id"" : ""10002786"", ""resource_type"" : ""SITE""}"
8227,3371,"{""id"" : 8227, ""name"" : ""Argos-SCL_1"", ""global_call_limiter"" : 37, ""outgoing_call_limiter"" : 37, ""incoming_call_limiter"" : 37, ""vpn_id"" : ""3371"", ""resource_type"" : ""SITE""}"
412771,10018812,"{""id"" : 412771, ""name"" : ""CD0KCP99EE"", ""global_call_limiter"" : 8, ""outgoing_call_limiter"" : 8, ""incoming_call_limiter"" : 8, ""vpn_id"" : ""10018812"", ""resource_type"" : ""SITE""}"
412482,10007597,"{""id"" : 412482, ""name"" : ""CD0KMHFZDE"", ""global_call_limiter"" : 12, ""outgoing_call_limiter"" : 12, ""incoming_call_limiter"" : 12, ""vpn_id"" : ""10007597"", ""resource_type"" : ""SITE""}"
412563,10000552,"{""id"" : 412563, ""name"" : ""CD03HKBBAC"", ""global_call_limiter"" : 90, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""10000552"", ""resource_type"" : ""EQUIPMENT""}"
412544,10001108,"{""id"" : 412544, ""name"" : ""CD0KSAWBF0"", ""global_call_limiter"" : 300, ""outgoing_call_limiter"" : 300, ""incoming_call_limiter"" : 300, ""vpn_id"" : ""10001108"", ""resource_type"" : ""SITE""}"
376928,10014793,"{""id"" : 376928, ""name"" : ""CD0FMKJ851"", ""global_call_limiter"" : 700, ""outgoing_call_limiter"" : 700, ""incoming_call_limiter"" : 700, ""vpn_id"" : ""10014793"", ""resource_type"" : ""SITE""}"
409741,10018544,"{""id"" : 409741, ""name"" : ""CD0KBCWCFE"", ""global_call_limiter"" : 60, ""outgoing_call_limiter"" : 60, ""incoming_call_limiter"" : 60, ""vpn_id"" : ""10018544"", ""resource_type"" : ""SITE""}"
7399,3891,"{""id"" : 7399, ""name"" : ""COFRISET-SCL-1"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""3891"", ""resource_type"" : ""SITE""}"
