vpn_code,id_equip,data
10002705,12761,"{""id"" : 12761, ""name"" : ""5104206"", ""t1t7"" : ""5104206"", ""vpn_id"" : ""10002705"", ""id_default_site"" : 98741, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10012979,24781,"{""id"" : 24781, ""name"" : ""2315060"", ""t1t7"" : ""2315060"", ""vpn_id"" : ""10012979"", ""id_default_site"" : 200761, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10009177,73993,"{""id"" : 73993, ""name"" : ""5105158"", ""t1t7"" : ""5105158"", ""vpn_id"" : ""10009177"", ""id_default_site"" : 448097, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4671,53881,"{""id"" : 53881, ""name"" : ""HEI-SG-OBS-01"", ""t1t7"" : ""2365098"", ""vpn_id"" : ""4671"", ""id_default_site"" : -1, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 20, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_USA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
7132,66633,"{""id"" : 66633, ""name"" : ""GMF-US-to-JAPAN"", ""t1t7"" : ""8801297"", ""vpn_id"" : ""7132"", ""id_default_site"" : 401421, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""USA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4056,52609,"{""id"" : 52609, ""name"" : ""2250499"", ""t1t7"" : ""2250499"", ""vpn_id"" : ""4056"", ""id_default_site"" : 17457, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10018698,67669,"{""id"" : 67669, ""name"" : ""2214300"", ""t1t7"" : ""2214300"", ""vpn_id"" : ""10018698"", ""id_default_site"" : 407904, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3778,73952,"{""id"" : 73952, ""name"" : ""2316039"", ""t1t7"" : ""2316039"", ""vpn_id"" : ""3778"", ""id_default_site"" : 77016, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10002227,93241,"{""id"" : 93241, ""name"" : ""2330667"", ""t1t7"" : ""2330667"", ""vpn_id"" : ""10002227"", ""id_default_site"" : 111156, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10005440,14641,"{""id"" : 14641, ""name"" : ""5105169"", ""t1t7"" : ""5105169"", ""vpn_id"" : ""10005440"", ""id_default_site"" : 118861, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
6334,129961,"{""id"" : 129961, ""name"" : ""2216955"", ""t1t7"" : ""2216955"", ""vpn_id"" : ""6334"", ""id_default_site"" : 205314, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10005356,72316,"{""id"" : 72316, ""name"" : ""2265180"", ""t1t7"" : ""2265180"", ""vpn_id"" : ""10005356"", ""id_default_site"" : -1, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10000127,25863,"{""id"" : 25863, ""name"" : ""2305699"", ""t1t7"" : ""2305699"", ""vpn_id"" : ""10000127"", ""id_default_site"" : 12469, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10003861,173182,"{""id"" : 173182, ""name"" : ""2350565"", ""t1t7"" : ""2350565"", ""vpn_id"" : ""10003861"", ""id_default_site"" : 262856, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4820,52455,"{""id"" : 52455, ""name"" : ""PMIL3932_Anadarko"", ""t1t7"" : ""2360329"", ""vpn_id"" : ""4820"", ""id_default_site"" : 323438, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 40, ""scl_id"" : null, ""number_pre_analysis_name"" : ""GENERIC_CLI_PROCESSING"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10018796,74158,"{""id"" : 74158, ""name"" : ""5106034"", ""t1t7"" : ""5106034"", ""vpn_id"" : ""10018796"", ""id_default_site"" : 448966, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10012030,26053,"{""id"" : 26053, ""name"" : ""2291082"", ""t1t7"" : ""2291082"", ""vpn_id"" : ""10012030"", ""id_default_site"" : 207422, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4876,52497,"{""id"" : 52497, ""name"" : ""8210005_PGIEU_Prim"", ""t1t7"" : ""8210005"", ""vpn_id"" : ""4876"", ""id_default_site"" : 208180, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""zzz_CLI_FRA_na_na_"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
